,precision,recall,f1-score,support
BG,0.19047619047619047,0.10810810810810811,0.13793103448275862,37.0
Healthy,1.0,1.0,1.0,71.0
WSSV,0.4166666666666667,0.6363636363636364,0.5035971223021583,55.0
WSSV_BG,0.09090909090909091,0.05714285714285714,0.07017543859649122,35.0
accuracy,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.5656565656565656
macro avg,0.424512987012987,0.45040365040365044,0.42792589884535204,198.0
weighted avg,0.5259904237176966,0.5656565656565656,0.5366536886533231,198.0
