timestamp,species,backbone,held_out_samples,n_folds_evaluated,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,per_fold_accuracy,per_fold_macro_f1,checkpoint_dir,confusion_matrix_path,notes
2026-08-31T16:18:21+00:00,fish,resnet18,303,5,0.914851485148515,0.02070546157275,0.9184371029418944,0.0194020661190169,0.8878;0.9208;0.9472;0.8977;0.9208,0.8962;0.9313;0.9437;0.8954;0.9256,checkpoints,datasets\fish_resnet18_holdout_confusion_matrix.csv,
2026-08-31T16:18:51+00:00,shrimp,resnet18,226,5,0.8628318584070798,0.02203522052741369,0.8622849402354923,0.02282907821969246,0.8673;0.8761;0.8319;0.8938;0.8451,0.8672;0.8757;0.8293;0.8942;0.8450,checkpoints,datasets\shrimp_resnet18_holdout_confusion_matrix.csv,
